Request Type,Case Id,Case Start Date,Sub Category,Last Admin,Last Note,Last Note Date,Current User Id
Inquiry,571034,10/03/2025,1 Month Grace Period,ammar.alshehhi,?????? ??? ??????? sr,24/03/2025,ammar.alshehhi
Complaint,571294,10/03/2025,Service submission,ali.babiker,Incident 21112,15/04/2025,ali.babiker
Complaint,571691,10/03/2025,Payment,ali.babiker,It is mentioned in my response.,18/04/2025,sumaya.rashed
Complaint,571905,10/03/2025,General,nasreldeen.hanafi,Complete - ???? ???? ???? ?????? ?????? ?????? ???????? ?????????? ?????????? ???? ??????? ?????? ??? ???? ?????? ?????????. ???? ??? ???????? ??????? ?? ????? ??? ??????? ??? ??????? ??? ?????? ???? ?? ????? ?????? ?????? ????? ??? ???????,11/03/2025,nasreldeen.hanafi
Inquiry,571954,10/03/2025,Payment,sumaya.rashed,please specify that briefly as agreed in arabic as we need to use the same language the customer used and resolve,15/04/2025,sumaya.rashed
Inquiry,571993,10/03/2025,Payment,ali.babiker,Incident 19881 was completed. Kindly verify.,18/04/2025,Mariam.Almheiri
Inquiry,572460,10/03/2025,End of service remuneration,ammar.alshehhi,????? ??? ??? ??????  ?????????,10/04/2025,Hamad.Almheiri
Complaint,572616,10/03/2025,End of service,nasreldeen.hanafi,?? ????? ????? ??????? ?????? ????? ???? SR ?? ??? ???? ??? ??? ???? ,21/03/2025,Gerier.Ismail
Complaint,572923,10/03/2025,Service submission,ali.babiker,SR 15545,15/04/2025,anas.hasan
Inquiry,573736,10/03/2025,Service submission,anas.hasan,16292  Aljazeerah Drinking Water Purification amp Supply L.L.C 15925  Al Jazeerah Drinking Water Purification And Supply L.L.C empty  Plz raise an SR to correct the data  Aljazeerah Drinking Water Purification amp Supply L.L.C has 2 active  records  16292  Aljazeerah Drinking Water Purification amp Supply L.L.C  15925 -No Entries to be removed  - Al Jazeerah Drinking Water Purification And Supply L.L.C empty,14/04/2025,nasreldeen.hanafi
Complaint,574259,10/03/2025,Service submission,sumaya.rashed,????? ???????,17/04/2025,sumaya.rashed
Complaint,574688,10/03/2025,EOS Shourak payment released request,mohamed.bintook,?? ??????? ??? ????? ???? ?? ??? ??? ???? ?? ??? ????? ???? ???????? ??? ?????? ???? ???? ??????? ???? ???,18/04/2025,mohamed.bintook
Complaint,575267,11/03/2025,Purchase additional years,ammar.alshehhi,??  ??? ??? ????   sr,07/04/2025,ammar.alshehhi
Complaint,575302,11/03/2025,Incorrect employment details,mohamed.bintook,?? ????? ???? ???????? ??? ???? ????? ???? ??? ????? ????? ??????,17/04/2025,mohamed.bintook
Complaint,575389,11/03/2025,End of service remuneration,abdelhamid.mohamed,??? ?????? ?? ??? ??????? ???? ??? ?? ???? ???? ???????? ???? 06 ? 07 ? 08   ? ???? ?? ??????? ?? ??? ????? ????? ??????? ??????,15/04/2025,abdelhamid.mohamed
Complaint,575470,11/03/2025,Service submission,ali.babiker,SR 15568,16/04/2025,ali.babiker
Complaint,575492,11/03/2025,Service submission,abdelhamid.mohamed,?? ??? ????? ???? ????? ??? ??????,18/04/2025,anas.hasan
Complaint,575508,11/03/2025,Contributions and proforma,mohamed.abdulsallam,"Dear employer kindly we would like you to know that we are updating the refund process, and it will be ready soon. You will be contacted once the update is finalized. please provide us with an official refund letter clarified the total amount details requested to be refund, and the company official IBAN letter.&#160;",17/03/2025,mohamed.abdulsallam
Complaint,575578,11/03/2025,Payment,ali.babiker,Employer has an active payment of 25.60 and they can't pay again until the pending payment finish.,18/04/2025,sumaya.rashed
Complaint,575873,11/03/2025,Incorrect employment details,Sharifa.Alblooshi,"Back -  ???????? ??? ?????? ???????? ???? ??????? ?? ????????? ??? ??????? ???? ?? ?? ??????? ?? ???????? ?? ??? ???? ????? ????? ?????????? ?????? 18 ????? ?? ???? ?????? 10:17 ??????? ??? ?? ???? ??? ???? ?????????? ???? ???? ??????. ??? ?? ??????? ??? ??? ?????? ???????? ????????? ??? ?? ????? ???????? ???? ?????? ??????? ??????? ?? ???????? ???????? ????? ???? ????? ????? ?????? ???? ??????? ?? ????????",18/04/2025,Fatma.Ahli
Complaint,576101,11/03/2025,General,Eshraq.Hazza,Back -   ???? ???? ??? ???????? ??? ?? ??? ?? ???????,17/04/2025,abdelhamid.mohamed
Complaint,576319,11/03/2025,Payment,anas.hasan,SR  15579,18/04/2025,anas.hasan
Complaint,576460,11/03/2025,Service submission,ali.babiker,SR was created ID 15509,15/04/2025,ali.babiker
Complaint,576464,11/03/2025,Incorrect employment details,Saed.Fawzi,RECLASSIFY - Incident case has been raised # 22385,17/04/2025,anas.hasan
Complaint,576466,11/03/2025,Incorrect employment details,anas.hasan,"Complete -  ????? ???????? ????.  ??? ??????? ???? ?? ??????? ??? ????? ??????    ??? ??? ????? ?? ????????? ?????? ?? ??? ?? ???? ??????? ?????? ???? ????? ????? ??? ??? ???? ?? ??????? ??? ????? 80010",18/04/2025,
Inquiry,576783,11/03/2025,Late End of Service Penalty,,,,ammar.alshehhi
Complaint,576885,11/03/2025,Incorrect employment details,Moysar.Salahaldeen,Reminder sent,14/04/2025,Moysar.Salahaldeen
Complaint,576952,11/03/2025,Incorrect employment details,nasreldeen.hanafi,?? ????? ????? ??????? ???  566203 ???????? ????? ??????? ,17/03/2025,nasreldeen.hanafi
Complaint,577442,11/03/2025,Refunds,Safa.Bkaar,Dear Saed  for your kind action,11/03/2025,Saed.Fawzi
Complaint,577529,11/03/2025,Merge service period,anas.hasan,SR  15339 Approval Rejected,18/04/2025,Salma.Ahmed
Complaint,577550,11/03/2025,Beneficiary deregistration,Hamda.AlBalooshi,"Complete - Thank you for contacting us and based on our previous phone conversation, we would like to inform you that we have contacted your previous employer to provide all the requirements for termination of service through the system, and they have been instructed on how to log in and submit the application.",18/04/2025,
Complaint,577611,11/03/2025,Merge years,ali.babiker,Incident was created ID  22381,16/04/2025,ali.babiker
Complaint,577685,11/03/2025,Service submission,ali.babiker,SR 15577,16/04/2025,anas.hasan
Complaint,577798,11/03/2025,End of service,Alyazia.Alkhoori,The issue faced by the insured remains unresolved. Kindly ensure the problem is fully addressed before proceeding to close the incident.  ,16/04/2025,mohammed.reda
Complaint,577959,11/03/2025,General,Eshraq.Hazza,Back -    ???? ???? ??? ???????? ??? ?? ??? ?? ???????,17/04/2025,abdelhamid.mohamed
Complaint,578688,11/03/2025,Service submission,ali.babiker,SR 15577,16/04/2025,anas.hasan
Complaint,579270,12/03/2025,Payment,anas.hasan,SR 14844   Rejected,18/04/2025,Mariam.Almheiri
Complaint,579470,12/03/2025,Service submission,ali.babiker,SR 15510,16/04/2025,anas.hasan
Complaint,579566,12/03/2025,Service submission,ali.babiker,SR 15545,15/04/2025,ali.babiker
Complaint,579960,12/03/2025,Benefits transfer to GPSSA from other pension funds (????? ?????),nasreldeen.hanafi,?? ????? ????? ????? ???????? ?????? ????? ???? SR  ,21/03/2025,nasreldeen.hanafi
Inquiry,580171,12/03/2025,Service submission,ali.babiker,Kindly advice on the wrong period and employer.,11/04/2025,nasreldeen.hanafi
Inquiry,580368,12/03/2025,Late Registration Penalty,Gerier.Ismail,"Complete -    &quot;???? ????? ???? ????? ??? ?????? ?????? ???????? ?????????? ?????????? ????? ????? ???????? ?? ??????? ???????? ???????? ??? ????? ???? ?????? ?? ????? ??? ????? ?????? ? ???? ????? ??????? ??????? ???????? ??????? ?? ??? ?????. ????? ???? ??????? ??? ?? ???? ?????? ?? ???? ??????? ???????? ????????.&quot;",13/03/2025,nasreldeen.hanafi
Complaint,581237,12/03/2025,Incorrect employment details,ammar.alshehhi,?? ????? ??? ?????,07/04/2025,ammar.alshehhi
Complaint,581255,12/03/2025,Service submission,anas.hasan,"Complete -    ????? ???????? ????.  ??? ??????? ???? ?? ?? ????? ?? ??? ????? ?????? . ??? ??? ????? ?? ????????? ?????? ?? ??? ?? ???? ??????? ?????? ???? ????? ????? ??? ??? ???? ?? ??????? ??? ????? 80010",18/04/2025,
Complaint,581334,12/03/2025,Service submission,ali.babiker,SR 15577,16/04/2025,anas.hasan
Complaint,581528,12/03/2025,Service submission,ali.babiker,SR 15603,17/04/2025,anas.hasan
Complaint,581603,12/03/2025,Service submission,ali.babiker,SR 15545,15/04/2025,ali.babiker
Complaint,582178,13/03/2025,General,nasreldeen.hanafi,?? ????? ????? ????? ???????? ?????? ????? ???? SR  ,25/03/2025,nasreldeen.hanafi
Complaint,582365,13/03/2025,Transferred service,Gerier.Ismail,Sr 15577,16/04/2025,anas.hasan
Inquiry,582430,13/03/2025,General,Eshraq.Hazza,Back -    ???? ???? ??? ???????? ??? ?? ??? ?? ???????,17/04/2025,abdelhamid.mohamed
Inquiry,582625,13/03/2025,Late End of Service Penalty,mohamed.bintook,?? ????? ???? ???????? ?????,09/04/2025,mohamed.bintook
Complaint,582742,13/03/2025,End of service,zainab.alshehhi,"RECLASSIFY -   ????? ???????? ????. ??? ??????? ???? ???? ????? ???????? ??????? ??????? ? ? ??? ??? ????? ?? ????????? ?????? ???? ??????? ??? ????? 80010.",14/04/2025,nasreldeen.hanafi
Complaint,582743,13/03/2025,Merge service period,nasreldeen.hanafi,??? ? ???????? ????. ??? ??????? ???? ??? ?????? ?????? ???? ?? ????? ?????? ??????    ??? ??? ????? ?? ????????? ??????  ???? ??????? ??? ????? 80014 ,15/04/2025,nasreldeen.hanafi
Complaint,582908,13/03/2025,Service submission,ali.babiker,SR 14828,16/04/2025,ali.babiker
Complaint,583377,13/03/2025,End of service,anas.hasan,"Dear , Schema for beneficiary  got deregistered -CLC caseID 590814-ineligibility reason  Beneficiary having Non GPSSA employment   If Eligible plz advise member to raise a new BR case",11/04/2025,Khaled.Alalawi
Complaint,583660,13/03/2025,End of service remuneration,nasreldeen.hanafi,??? ????? ????,17/04/2025,Hamad.Almheiri
Complaint,583804,13/03/2025,Incorrect employment details,ahmed.majid,Back -  ???? ???? ??? ???????? ??? ???????? ?? ?? ???????,17/04/2025,abdelhamid.mohamed
Complaint,584876,14/03/2025,Contributions and proforma,Gerier.Ismail,RECLASSIFY -  ??? ????? ???? 473535,11/04/2025,Musab.Husam
Complaint,585194,14/03/2025,Service submission,anas.hasan,"Complete -  ????? ???????? ????. ??? ??????? ???? ??? ?????? ????? ?????  ?????? ???????? ??? ?????? ???????  . ??? ??? ????? ?? ????????? ?????? ?? ??? ?? ???? ??????? ?????? ???? ????? ????? ??? ??? ???? ?? ??????? ??? ????? 80010",18/04/2025,
Complaint,585218,14/03/2025,Service submission,anas.hasan,"Complete -  ????? ???????? ????. ??? ??????? ???? ??? ?????? ????? ????? ?????? ????? ??????   . ?? ??? ????? ?? ????????? ?????? ?? ??? ?? ???? ??????? ?????? ???? ????? ????? ??? ??? ???? ?? ??????? ??? ????? 80010",18/04/2025,
Complaint,585398,14/03/2025,Insured registration,shaikha.humaid,RECLASSIFY -  ???? ????? ??? ??? ??????? ??? ???? ???? ??? ?? ??? ????? ???????? ???????  ? ???? ???? ?????? ???? ???  ?? ?? ?????? ?? ?????? ???? ???????? ?? ?????? ????? 784200562572766??? ???? ??? ???????.,19/04/2025,
Inquiry,585497,14/03/2025,Refunds,mohamed.abdulsallam,"Dear employer kindly we would like you to know that we are updating the refund process, and it will be ready soon. You will be contacted once the update is finalized. please provide us with an official refund letter clarified the total amount details requested to be refund, and the company official IBAN letter.&#160;",19/03/2025,mohamed.abdulsallam
Complaint,585603,14/03/2025,Refunds,,,,mohamed.abdulsallam
Inquiry,585771,14/03/2025,Refunds,,,,mohamed.abdulsallam
Complaint,585786,14/03/2025,1 Month Grace Period,Moysar.Salahaldeen,reminder sent,14/04/2025,Moysar.Salahaldeen
Complaint,585792,14/03/2025,Beneficiary registration,salma.kheir,Back -  ???? ????? ?????? ?? ????? ????? ?? ??? ??? ???? ??? ?????? SR ?????? ??? ????? ??? ???????? ??? ??? ?? ???? ??? ????? ?? ???????? ?? ??? SR ???? ???????? ??? ????? ???????? ?????????? ????????? ??? ???,02/04/2025,Khalid.Salaheldin
Complaint,585793,14/03/2025,General,nasreldeen.hanafi,?? ????? ????? ????? ???????? ?????? ????? ???? SR ,19/03/2025,nasreldeen.hanafi
Complaint,585938,14/03/2025,Incorrect employment details,ammar.alshehhi,?? ??? incident,27/03/2025,ammar.alshehhi
Complaint,586410,14/03/2025,Incorrect employment details,mohamed.bintook,?? ????? ???? ???????? ??? ???? ????? ???? ??? ???? ?????????? ?????? ????? ??????,09/04/2025,mohamed.bintook
Complaint,587667,15/03/2025,Service submission,nasreldeen.hanafi,?? ????? ????? ????? ???????? ?????? ????? ???? SR  ,11/04/2025,nasreldeen.hanafi
Complaint,587669,15/03/2025,Service submission,ali.babiker,Kindly provide SR  if available.,14/04/2025,nasreldeen.hanafi
Complaint,587989,16/03/2025,Contributions and proforma,mohamed.bintook,?? ????? ???? ???????? ??? ???? ????? ????? ???? ?????????? ?????? ??? ????? ?????? ?? ?????? ???? ??? ?? ???,03/04/2025,mohamed.bintook
Inquiry,588038,16/03/2025,Service submission,Moysar.Salahaldeen,RECLASSIFY -  SR 15579,17/04/2025,anas.hasan
Complaint,588108,16/03/2025,Service submission,ali.babiker,SR 15579,16/04/2025,anas.hasan
Complaint,588112,16/03/2025,Service submission,ali.babiker,SR 15545,15/04/2025,ali.babiker
Complaint,588546,17/03/2025,End of service remuneration,nasreldeen.hanafi,??? ????? ??????,09/04/2025,Hamad.Almheiri
Complaint,588584,17/03/2025,General,nasreldeen.hanafi,?? ????? ????? ?? ??? ????????? ,25/03/2025,nasreldeen.hanafi
Complaint,588592,17/03/2025,General,abdelhamid.mohamed,SR ????? ?????? ??? ????? ???????,18/04/2025,abdelhamid.mohamed
Complaint,588720,17/03/2025,Incorrect employment details,ali.babiker,SR was crated ID 15509,15/04/2025,ali.babiker
Complaint,588975,17/03/2025,Payment,anas.hasan,Plz provide SR Number,18/04/2025,nasreldeen.hanafi
Complaint,589003,17/03/2025,Service submission,ali.babiker,SR was created ID 15509,15/04/2025,ali.babiker
Complaint,589029,17/03/2025,Transferred service,Moysar.Salahaldeen,reminder sent,14/04/2025,Moysar.Salahaldeen
Inquiry,589053,17/03/2025,Service submission,Moysar.Salahaldeen,RECLASSIFY - Sr 15510,14/04/2025,anas.hasan
Complaint,589262,17/03/2025,Service submission,Moysar.Salahaldeen,RECLASSIFY -  SR-15615,16/04/2025,anas.hasan
Complaint,589325,17/03/2025,Service submission,ali.babiker,SR 15579,16/04/2025,anas.hasan
Complaint,589362,17/03/2025,Service submission,anas.hasan,"Complete -  ????? ???????? ????.  ??? ??????? ???? ?? ??????? ??? ????? ??????    ??? ??? ????? ?? ????????? ?????? ?? ??? ?? ???? ??????? ?????? ???? ????? ????? ??? ??? ???? ?? ??????? ??? ????? 80010",18/04/2025,
Complaint,589398,17/03/2025,Service submission,anas.hasan,"Complete -    ????? ???????? ????.  ??? ??????? ???? ?? ?? ????? ?? ??? ????? ?????? . ??? ??? ????? ?? ????????? ?????? ?? ??? ?? ???? ??????? ?????? ???? ????? ????? ??? ??? ???? ?? ??????? ??? ????? 80010",18/04/2025,
Complaint,589409,17/03/2025,Incorrect employment details,Eshraq.Hazza,Back -   ???? ???? ??? ????? ??? ?? ??? ?? ???????,17/04/2025,abdelhamid.mohamed
Complaint,589417,17/03/2025,Transferred service,abdelhamid.mohamed,data correction 661073,18/04/2025,
Complaint,589587,17/03/2025,General,nasreldeen.hanafi,?? ????? ????? ????? ???????? ?????? ????? ???? SR ,19/03/2025,nasreldeen.hanafi
Complaint,589591,17/03/2025,,ali.babiker,Waiting SR,16/04/2025,ali.babiker
Inquiry,590005,18/03/2025,Late Registration Penalty,nasreldeen.hanafi,?? ????? ????? ????? ???????? ?????? ????? ???? SR ,19/03/2025,nasreldeen.hanafi
Inquiry,590228,18/03/2025,Late End of Service Penalty,ammar.alshehhi,?????? ????? ??? ???? ??  ????? ????? ??????     ???  5 ????   ?? 66 ????   sr  ,23/03/2025,ammar.alshehhi
Complaint,590262,18/03/2025,Merge years,Mohamed.Sidahmed,RECLASSIFY -  SR 15704,18/04/2025,anas.hasan
Inquiry,590407,18/03/2025,Contributions and proforma,,,,mohamed.abdulsallam
Complaint,590432,18/03/2025,End of service,Gerier.Ismail,??? ????? ???? ??? 313188,11/04/2025,Hamad.Almheiri
Complaint,590449,18/03/2025,Merge service period,Gerier.Ismail,SR,25/03/2025,abdelhamid.mohamed
Inquiry,590487,18/03/2025,Incorrect employment details,Moysar.Salahaldeen,RECLASSIFY -  SR 15579,16/04/2025,anas.hasan
Complaint,590493,18/03/2025,Service submission,ali.babiker,SR 15545,16/04/2025,anas.hasan
Inquiry,590904,18/03/2025,Late Registration Penalty,ammar.alshehhi,?? ???????? ????? ??? ?????,19/03/2025,ammar.alshehhi
Inquiry,590914,18/03/2025,End of service,Gerier.Ismail,?? ????? ???? ??? ????? ???? ????,16/04/2025,Gerier.Ismail
Inquiry,591018,18/03/2025,Late End of Service Penalty,ammar.alshehhi,?????? ????? ??? ???? ??  ????? ????? ??????     ???  149 ????   ?? 157   ???? SR,23/03/2025,ammar.alshehhi
Inquiry,591106,18/03/2025,End of service,Gerier.Ismail,"???? ??? ?? ???? ????? ????? 34,585.76 - ???? . ?????? ??????? ?? ??? ?????????",24/03/2025,Hamad.Almheiri
Inquiry,591143,18/03/2025,Late End of Service Penalty,ammar.alshehhi,?? ????? sr,24/03/2025,ammar.alshehhi
Inquiry,591149,18/03/2025,Late Registration Penalty,ammar.alshehhi,?? ?????? ????? ??? ????,19/03/2025,ammar.alshehhi
Complaint,591188,18/03/2025,End of service,anas.hasan,SR 15295 Approval Rejected,18/04/2025,Salma.Ahmed
Inquiry,591214,18/03/2025,Late End of Service Penalty,ammar.alshehhi,?? ????? sr,24/03/2025,ammar.alshehhi
Complaint,591296,18/03/2025,Refunds,,,,mohamed.abdulsallam
Complaint,591321,18/03/2025,Refunds,,,,mohamed.abdulsallam
Inquiry,591334,18/03/2025,Service submission,ali.babiker,SR 15491 ,16/04/2025,anas.hasan
Inquiry,591560,18/03/2025,Payment,ali.babiker,New Incident 22310 was made  because Incident 21493 is not found,14/04/2025,ali.babiker
Inquiry,592034,19/03/2025,Service submission,ali.babiker,Incident 19401 was fixed and close.,14/04/2025,mohamed.khaled
Inquiry,592038,19/03/2025,Service submission,anas.hasan,"Complete -  ????? ???????? ????.  ??? ??????? ???? ?? ??????? ??? ????????     ??? ??? ????? ?? ????????? ?????? ?? ??? ?? ???? ??????? ?????? ???? ????? ????? ??? ??? ???? ?? ??????? ??? ????? 80010",18/04/2025,
Complaint,592040,19/03/2025,Incorrect employment details,anas.hasan,"Complete -  Thank you for contacting us.  We would like to inform you that the Issue related to Merge service - Civil, has been resolved. For further inquiries or if the problem still persists, please contact us at 80010 or submit a new support request",18/04/2025,
Complaint,592077,19/03/2025,Payment,ali.babiker,Incident was created ID  22420,17/04/2025,ali.babiker
Complaint,592093,19/03/2025,Service submission,anas.hasan,"Complete -    ????? ???????? ????.  ??? ??????? ???? ?? ?? ????? ?? ??? ????? ?????? . ??? ??? ????? ?? ????????? ?????? ?? ??? ?? ???? ??????? ?????? ???? ????? ????? ??? ??? ???? ?? ??????? ??? ????? 80010",18/04/2025,
Complaint,592196,19/03/2025,Incorrect employment details,Moysar.Salahaldeen,RECLASSIFY -  SR 15579,16/04/2025,anas.hasan
Complaint,592621,19/03/2025,Service submission,Moysar.Salahaldeen,??? ????????? ???? ????? ????? ????? ????? ??????,28/03/2025,sara.musa
Complaint,592792,19/03/2025,Transferred service,Gerier.Ismail,sr 15568,16/04/2025,anas.hasan
Complaint,592932,19/03/2025,Late End of Service Penalty,saif.mohammed,???? ???????  ??????? ???????  ??? ???????,18/04/2025,Gerier.Ismail
Inquiry,592946,19/03/2025,Late End of Service Penalty,Gerier.Ismail,"Complete -  ?????? ????? ??? ??? ?????? ???? ???????  ?? ??????? ??? ?? ??? ???????? ? ? ???? ??????? ?? ??????? ???????? ??? ???? ????? ???? ??? ?? ????? ?????? ????? ??? ?????? ??? ?? ????? ????? ?? ??? ??? ????? ?? ??? ?????? ?????? ? ???????.  ??? ??? ????? ?? ????????? ??????? ???? ??????? ??? ????? 80010.",18/04/2025,
Complaint,592947,19/03/2025,Refunds,,,,mohamed.abdulsallam
Complaint,592998,19/03/2025,Insured registration,abdelhamid.mohamed,????? ???????? ????. ??? ??????? ????  ???? ????? ??? ????? ???? ?????? ????? ???? ???? ???? ??????? ??? ??? ???? ???? ????? ????? ?????? 03-06-2007 ? ?????? ??? ??? ???? ??????? ????? ????? 31-05-2009 .? ?? ???? ????? ????? ????? ???? ?? ??? ???? ??????? ?????? ???????.  ????? ??????? .,16/04/2025,abdelhamid.mohamed
Inquiry,593098,19/03/2025,Late End of Service Penalty,Gerier.Ismail,"Complete -  ?????? ????? ??? ??? ?????? ???? ???????  ?? ??????? ??? ?? ??? ???????? ? ? ???? ??????? ?? ??????? ???????? ??? ???? ????? ???? ??? ?? ????? ?????? ????? ??? ?????? ??? ?? ????? ????? ?? ??? ??? ????? ?? ??? ?????? ?????? ? ???????.  ??? ??? ????? ?? ????????? ??????? ???? ??????? ??? ????? 80010.",18/04/2025,
Inquiry,593125,19/03/2025,Late End of Service Penalty,Gerier.Ismail,"Complete -  ?????? ????? ??? ??? ?????? ???? ???????  ?? ??????? ??? ?? ??? ???????? ? ? ???? ??????? ?? ??????? ???????? ??? ???? ????? ???? ??? ?? ????? ?????? ????? ??? ?????? ??? ?? ????? ????? ?? ??? ??? ????? ?? ??? ?????? ?????? ? ???????.  ??? ??? ????? ?? ????????? ??????? ???? ??????? ??? ????? 80010.",18/04/2025,
Complaint,593368,20/03/2025,Late Registration Penalty,Sharifa.Alblooshi,Back -  Please create inspection case,18/04/2025,Fatma.Ahli
Complaint,593369,20/03/2025,Late Registration Penalty,Sharifa.Alblooshi,Back -  please create inspection case,18/04/2025,Fatma.Ahli
